t (ms),Normalized,,
3.15,0.000128861,,
3.16,0.000127836,,
3.17,0.000126819,,
3.18,0.000125812,,
3.19,0.000124814,,
3.2,0.000123824,,
3.21,0.000122844,,
3.22,0.000121872,,
3.23,0.000120909,,
3.24,0.000119955,,
3.25,0.000119009,,
3.26,0.000118072,,
3.27,0.000117143,,
3.28,0.000116223,,
3.29,0.00011531,,
3.3,0.000114406,,
3.31,0.00011351,,
3.32,0.000112622,,
3.33,0.000111742,,
3.34,0.00011087,,
3.35,0.000110006,,
3.36,0.000109149,,
3.37,0.000108301,,
3.38,0.000107459,,
3.39,0.000106626,,
3.4,0.0001058,,
3.41,0.000104981,,
3.42,0.00010417,,
3.43,0.000103365,,
3.44,0.000102568,,
3.45,0.000101779,,
3.46,0.000100996,,
3.47,0.00010022,,
3.48,9.94517E-05,,
3.49,9.86899E-05,,
3.5,9.7935E-05,,
3.51,9.71868E-05,,
3.52,9.64453E-05,,
3.53,9.57105E-05,,
3.54,9.49823E-05,,
3.55,9.42606E-05,,
3.56,9.35454E-05,,
3.57,9.28366E-05,,
3.58,9.21342E-05,,
3.59,9.14381E-05,,
3.6,9.07482E-05,,
3.61,9.00645E-05,,
3.62,8.93869E-05,,
3.63,8.87155E-05,,
3.64,8.805E-05,,
3.65,8.73905E-05,,
3.66,8.6737E-05,,
3.67,8.60893E-05,,
3.68,8.54474E-05,,
3.69,8.48113E-05,,
3.7,8.41809E-05,,
3.71,8.35561E-05,,
3.72,8.29369E-05,,
3.73,8.23234E-05,,
3.74,8.17153E-05,,
3.75,8.11126E-05,,
3.76,8.05154E-05,,
3.77,7.99235E-05,,
3.78,7.9337E-05,,
3.79,7.87557E-05,,
3.8,7.81796E-05,,
3.81,7.76087E-05,,
3.82,7.7043E-05,,
3.83,7.64823E-05,,
3.84,7.59266E-05,,
3.85,7.53759E-05,,
3.86,7.48302E-05,,
3.87,7.42893E-05,,
3.88,7.37533E-05,,
3.89,7.32221E-05,,
3.9,7.26957E-05,,
3.91,7.2174E-05,,
3.92,7.1657E-05,,
3.93,7.11447E-05,,
3.94,7.06369E-05,,
3.95,7.01337E-05,,
3.96,6.9635E-05,,
3.97,6.91408E-05,,
3.98,6.8651E-05,,
3.99,6.81656E-05,,
4,6.76846E-05,,
4.01,6.72078E-05,,
4.02,6.67354E-05,,
4.03,6.62672E-05,,
4.04,6.58032E-05,,
4.05,6.53434E-05,,
4.06,6.48877E-05,,
4.07,6.4436E-05,,
4.08,6.39885E-05,,
4.09,6.35449E-05,,
4.1,6.31054E-05,,
4.11,6.26697E-05,,
4.12,6.2238E-05,,
4.13,6.18102E-05,,
4.14,6.13862E-05,,
4.15,6.0966E-05,,
4.16,6.05496E-05,,
4.17,6.01369E-05,,
4.18,5.97279E-05,,
4.19,5.93226E-05,,
4.2,5.89209E-05,,
4.21,5.85228E-05,,
4.22,5.81283E-05,,
4.23,5.77374E-05,,
4.24,5.73499E-05,,
4.25,5.6966E-05,,
4.26,5.65854E-05,,
4.27,5.62083E-05,,
4.28,5.58346E-05,,
4.29,5.54642E-05,,
4.3,5.50972E-05,,
4.31,5.47334E-05,,
4.32,5.43729E-05,,
4.33,5.40157E-05,,
4.34,5.36616E-05,,
4.35,5.33107E-05,,
4.36,5.2963E-05,,
4.37,5.26184E-05,,
4.38,5.22769E-05,,
4.39,5.19385E-05,,
4.4,5.16031E-05,,
4.41,5.12707E-05,,
4.42,5.09412E-05,,
4.43,5.06148E-05,,
4.44,5.02913E-05,,
4.45,4.99706E-05,,
4.46,4.96529E-05,,
4.47,4.9338E-05,,
4.48,4.90259E-05,,
4.49,4.87167E-05,,
4.5,4.84102E-05,,
4.51,4.81064E-05,,
4.52,4.78054E-05,,
4.53,4.75071E-05,,
4.54,4.72114E-05,,
4.55,4.69185E-05,,
4.56,4.66281E-05,,
4.57,4.63404E-05,,
4.58,4.60552E-05,,
4.59,4.57726E-05,,
4.6,4.54925E-05,,
4.61,4.52149E-05,,
4.62,4.49399E-05,,
4.63,4.46673E-05,,
4.64,4.43971E-05,,
4.65,4.41294E-05,,
4.66,4.38641E-05,,
4.67,4.36011E-05,,
4.68,4.33405E-05,,
4.69,4.30823E-05,,
4.7,4.28264E-05,,
4.71,4.25727E-05,,
4.72,4.23214E-05,,
4.73,4.20723E-05,,
4.74,4.18254E-05,,
4.75,4.15808E-05,,
4.76,4.13383E-05,,
4.77,4.1098E-05,,
4.78,4.08599E-05,,
4.79,4.06239E-05,,
4.8,4.03901E-05,,
4.81,4.01583E-05,,
4.82,3.99286E-05,,
4.83,3.9701E-05,,
4.84,3.94754E-05,,
4.85,3.92518E-05,,
4.86,3.90303E-05,,
4.87,3.88107E-05,,
4.88,3.85931E-05,,
4.89,3.83775E-05,,
4.9,3.81638E-05,,
4.91,3.7952E-05,,
4.92,3.77421E-05,,
4.93,3.75341E-05,,
4.94,3.7328E-05,,
4.95,3.71237E-05,,
4.96,3.69212E-05,,
4.97,3.67206E-05,,
4.98,3.65218E-05,,
4.99,3.63247E-05,,
5,3.61294E-05,,
5.01,3.59359E-05,,
5.02,3.57441E-05,,
5.03,3.5554E-05,,
5.04,3.53657E-05,,
5.05,3.5179E-05,,
5.06,3.4994E-05,,
5.07,3.48106E-05,,
5.08,3.46289E-05,,
5.09,3.44489E-05,,
5.1,3.42704E-05,,
5.11,3.40936E-05,,
5.12,3.39183E-05,,
5.13,3.37446E-05,,
5.14,3.35725E-05,,
5.15,3.34019E-05,,
5.16,3.32329E-05,,
5.17,3.30653E-05,,
5.18,3.28993E-05,,
5.19,3.27348E-05,,
5.2,3.25717E-05,,
5.21,3.24101E-05,,
5.22,3.22499E-05,,
5.23,3.20912E-05,,
5.24,3.19339E-05,,
5.25,3.17781E-05,,
5.26,3.16236E-05,,
5.27,3.14705E-05,,
5.28,3.13188E-05,,
5.29,3.11684E-05,,
5.3,3.10194E-05,,
5.31,3.08717E-05,,
5.32,3.07254E-05,,
5.33,3.05803E-05,,
5.34,3.04366E-05,,
5.35,3.02942E-05,,
5.36,3.0153E-05,,
5.37,3.00131E-05,,
5.38,2.98745E-05,,
5.39,2.97371E-05,,
5.4,2.96009E-05,,
5.41,2.9466E-05,,
5.42,2.93322E-05,,
5.43,2.91997E-05,,
5.44,2.90684E-05,,
5.45,2.89382E-05,,
5.46,2.88092E-05,,
5.47,2.86814E-05,,
5.48,2.85547E-05,,
5.49,2.84291E-05,,
5.5,2.83047E-05,,
5.51,2.81814E-05,,
5.52,2.80592E-05,,
5.53,2.79381E-05,,
5.54,2.78181E-05,,
5.55,2.76991E-05,,
5.56,2.75813E-05,,
5.57,2.74645E-05,,
5.58,2.73487E-05,,
5.59,2.7234E-05,,
5.6,2.71203E-05,,
5.61,2.70076E-05,,
5.62,2.68959E-05,,
5.63,2.67852E-05,,
5.64,2.66756E-05,,
5.65,2.65669E-05,,
5.66,2.64592E-05,,
5.67,2.63524E-05,,
5.68,2.62466E-05,,
5.69,2.61418E-05,,
5.7,2.60379E-05,,
5.71,2.59349E-05,,
5.72,2.58329E-05,,
5.73,2.57318E-05,,
5.74,2.56316E-05,,
5.75,2.55322E-05,,
5.76,2.54338E-05,,
5.77,2.53363E-05,,
5.78,2.52396E-05,,
5.79,2.51438E-05,,
5.8,2.50489E-05,,
5.81,2.49548E-05,,
5.82,2.48615E-05,,
5.83,2.47691E-05,,
5.84,2.46775E-05,,
5.85,2.45868E-05,,
5.86,2.44968E-05,,
5.87,2.44077E-05,,
5.88,2.43194E-05,,
5.89,2.42318E-05,,
5.9,2.41451E-05,,
5.91,2.40591E-05,,
5.92,2.39739E-05,,
5.93,2.38894E-05,,
5.94,2.38058E-05,,
5.95,2.37228E-05,,
5.96,2.36406E-05,,
5.97,2.35592E-05,,
5.98,2.34785E-05,,
5.99,2.33985E-05,,
6,2.33192E-05,,
6.01,2.32406E-05,,
6.02,2.31628E-05,,
6.03,2.30856E-05,,
6.04,2.30091E-05,,
6.05,2.29334E-05,,
6.06,2.28582E-05,,
6.07,2.27838E-05,,
6.08,2.27101E-05,,
6.09,2.2637E-05,,
6.1,2.25645E-05,,
6.11,2.24927E-05,,
6.12,2.24216E-05,,
6.13,2.23511E-05,,
6.14,2.22812E-05,,
6.15,2.22119E-05,,
6.16,2.21433E-05,,
6.17,2.20753E-05,,
6.18,2.20079E-05,,
6.19,2.19411E-05,,
6.2,2.18749E-05,,
6.21,2.18093E-05,,
6.22,2.17443E-05,,
6.23,2.16798E-05,,
6.24,2.1616E-05,,
6.25,2.15527E-05,,
6.26,2.149E-05,,
6.27,2.14278E-05,,
6.28,2.13662E-05,,
6.29,2.13052E-05,,
6.3,2.12447E-05,,
6.31,2.11848E-05,,
6.32,2.11254E-05,,
6.33,2.10665E-05,,
6.34,2.10081E-05,,
6.35,2.09503E-05,,
6.36,2.0893E-05,,
6.37,2.08362E-05,,
6.38,2.07799E-05,,
6.39,2.07241E-05,,
6.4,2.06689E-05,,
6.41,2.06141E-05,,
6.42,2.05598E-05,,
6.43,2.0506E-05,,
6.44,2.04527E-05,,
6.45,2.03998E-05,,
6.46,2.03475E-05,,
6.47,2.02956E-05,,
6.48,2.02441E-05,,
6.49,2.01932E-05,,
6.5,2.01427E-05,,
6.51,2.00926E-05,,
6.52,2.0043E-05,,
6.53,1.99938E-05,,
6.54,1.99451E-05,,
6.55,1.98968E-05,,
6.56,1.9849E-05,,
6.57,1.98015E-05,,
6.58,1.97545E-05,,
6.59,1.9708E-05,,
6.6,1.96618E-05,,
6.61,1.96161E-05,,
6.62,1.95707E-05,,
6.63,1.95258E-05,,
6.64,1.94813E-05,,
6.65,1.94372E-05,,
6.66,1.93934E-05,,
6.67,1.93501E-05,,
6.68,1.93072E-05,,
6.69,1.92646E-05,,
6.7,1.92224E-05,,
6.71,1.91806E-05,,
6.72,1.91392E-05,,
6.73,1.90981E-05,,
6.74,1.90575E-05,,
6.75,1.90171E-05,,
6.76,1.89772E-05,,
6.77,1.89376E-05,,
6.78,1.88983E-05,,
6.79,1.88594E-05,,
6.8,1.88209E-05,,
6.81,1.87827E-05,,
6.82,1.87448E-05,,
6.83,1.87073E-05,,
6.84,1.86702E-05,,
6.85,1.86333E-05,,
6.86,1.85968E-05,,
6.87,1.85606E-05,,
6.88,1.85248E-05,,
6.89,1.84892E-05,,
6.9,1.8454E-05,,
6.91,1.84191E-05,,
6.92,1.83845E-05,,
6.93,1.83502E-05,,
6.94,1.83162E-05,,
6.95,1.82826E-05,,
6.96,1.82492E-05,,
6.97,1.82162E-05,,
6.98,1.81834E-05,,
6.99,1.81509E-05,,
7,1.81187E-05,,
7.01,1.80868E-05,,
7.02,1.80552E-05,,
7.03,1.80239E-05,,
7.04,1.79928E-05,,
7.05,1.79621E-05,,
7.06,1.79316E-05,,
7.07,1.79014E-05,,
7.08,1.78714E-05,,
7.09,1.78418E-05,,
7.1,1.78123E-05,,
7.11,1.77832E-05,,
7.12,1.77543E-05,,
7.13,1.77257E-05,,
7.14,1.76973E-05,,
7.15,1.76692E-05,,
7.16,1.76414E-05,,
7.17,1.76137E-05,,
7.18,1.75864E-05,,
7.19,1.75593E-05,,
7.2,1.75324E-05,,
7.21,1.75058E-05,,
7.22,1.74794E-05,,
7.23,1.74532E-05,,
7.24,1.74273E-05,,
7.25,1.74016E-05,,
7.26,1.73761E-05,,
7.27,1.73509E-05,,
7.28,1.73259E-05,,
7.29,1.73011E-05,,
7.3,1.72766E-05,,
7.31,1.72522E-05,,
7.32,1.72281E-05,,
7.33,1.72042E-05,,
7.34,1.71805E-05,,
7.35,1.7157E-05,,
7.36,1.71338E-05,,
7.37,1.71107E-05,,
7.38,1.70879E-05,,
7.39,1.70652E-05,,
7.4,1.70428E-05,,
7.41,1.70205E-05,,
7.42,1.69985E-05,,
7.43,1.69767E-05,,
7.44,1.6955E-05,,
7.45,1.69336E-05,,
7.46,1.69123E-05,,
7.47,1.68912E-05,,
7.48,1.68704E-05,,
7.49,1.68497E-05,,
7.5,1.68292E-05,,
7.51,1.68088E-05,,
7.52,1.67887E-05,,
7.53,1.67687E-05,,
7.54,1.6749E-05,,
7.55,1.67294E-05,,
7.56,1.67099E-05,,
7.57,1.66907E-05,,
7.58,1.66716E-05,,
7.59,1.66527E-05,,
7.6,1.6634E-05,,
7.61,1.66154E-05,,
7.62,1.6597E-05,,
7.63,1.65787E-05,,
7.64,1.65607E-05,,
7.65,1.65428E-05,,
7.66,1.6525E-05,,
7.67,1.65074E-05,,
7.68,1.649E-05,,
7.69,1.64727E-05,,
7.7,1.64556E-05,,
7.71,1.64386E-05,,
7.72,1.64218E-05,,
7.73,1.64051E-05,,
7.74,1.63886E-05,,
7.75,1.63722E-05,,
7.76,1.6356E-05,,
7.77,1.63399E-05,,
7.78,1.6324E-05,,
7.79,1.63082E-05,,
7.8,1.62926E-05,,
7.81,1.62771E-05,,
7.82,1.62617E-05,,
7.83,1.62465E-05,,
7.84,1.62314E-05,,
7.85,1.62164E-05,,
7.86,1.62016E-05,,
7.87,1.61869E-05,,
7.88,1.61724E-05,,
7.89,1.61579E-05,,
7.9,1.61436E-05,,
7.91,1.61295E-05,,
7.92,1.61154E-05,,
7.93,1.61015E-05,,
7.94,1.60877E-05,,
7.95,1.6074E-05,,
7.96,1.60605E-05,,
7.97,1.60471E-05,,
7.98,1.60338E-05,,
7.99,1.60206E-05,,
8,1.60075E-05,,
8,3.73305E-05,,
8.01,2.12358E-05,,
8.02,1.94022E-06,,
8.03,1.36924E-07,,
8.04,8.67341E-09,,
8.05,5.19517E-10,,
8.06,3.03421E-11,,
8.07,1.78859E-12,,
8.08,1.13432E-13,,
8.09,8.90422E-15,,
8.1,1.16142E-15,,
8.11,1.9357E-16,,
8.12,1.9357E-16,,
8.13,0,,
8.14,0,,
8.15,0,,
8.16,0,,
8.17,0,,
8.18,0,,
8.19,0,,
8.2,0,,
8.21,0,,
8.22,0,,
8.23,0,,
8.24,0,,
8.25,0,,
8.26,0,,
8.27,0,,
8.28,0,,
8.29,0,,
8.3,0,,
8.31,0,,
8.32,0,,
8.33,0,,
8.34,1.9357E-16,,
8.35,1.9357E-16,,
8.36,1.9357E-16,,
8.37,1.9357E-16,,
8.38,1.9357E-16,,
8.39,1.9357E-16,,
8.4,1.9357E-16,,
8.41,1.9357E-16,,
8.42,1.9357E-16,,
8.43,1.9357E-16,,
8.44,1.9357E-16,,
8.45,1.9357E-16,,
8.46,1.9357E-16,,
8.47,1.9357E-16,,
8.48,1.9357E-16,,
8.49,1.9357E-16,,
8.5,1.9357E-16,,
